iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_vaccinations
IND,Asia,India,2021-01-15,10527683.0,15590.0,16323.714,151918.0,191.0,0.0
IND,Asia,India,2021-01-16,10542841.0,15158.0,15886.0,152093.0,175.0,191181.0
IND,Asia,India,2021-01-17,10557985.0,15144.0,15385.857,152274.0,181.0,224301.0
IND,Asia,India,2021-01-18,10571773.0,13788.0,15025.429,152419.0,145.0,454049.0
IND,Asia,India,2021-01-19,10581837.0,10064.0,14665.429,152556.0,137.0,674835.0
IND,Asia,India,2021-01-20,10595660.0,13823.0,14359.0,152718.0,162.0,806484.0
IND,Asia,India,2021-01-21,10610883.0,15223.0,14112.857,152869.0,151.0,1043534.0
IND,Asia,India,2021-01-22,10625428.0,14545.0,13963.571,153032.0,163.0,1390592.0
IND,Asia,India,2021-01-23,10639684.0,14256.0,13834.714,153184.0,152.0,1582201.0
IND,Asia,India,2021-01-24,10654533.0,14849.0,13792.571,153339.0,155.0,1615504.0
IND,Asia,India,2021-01-25,10667736.0,13203.0,13709.0,153470.0,131.0,2023809.0
IND,Asia,India,2021-01-26,10676838.0,9102.0,13571.571,153587.0,117.0,2029480.0
IND,Asia,India,2021-01-27,10689527.0,12689.0,13409.571,153724.0,137.0,2355979.0
IND,Asia,India,2021-01-28,10701193.0,11666.0,12901.429,153847.0,123.0,2928053.0
IND,Asia,India,2021-01-29,10720048.0,18855.0,13517.143,154010.0,163.0,3500027.0
IND,Asia,India,2021-01-30,10733131.0,13083.0,13349.571,154147.0,137.0,3744334.0
IND,Asia,India,2021-01-31,10746183.0,13052.0,13092.857,154274.0,127.0,3758843.0
IND,Asia,India,2021-02-01,10757610.0,11427.0,12839.143,154392.0,118.0,3950156.0
IND,Asia,India,2021-02-02,10766245.0,8635.0,12772.429,154486.0,94.0,4138918.0
IND,Asia,India,2021-02-03,10777284.0,11039.0,12536.714,154596.0,110.0,4449552.0
IND,Asia,India,2021-02-04,10790183.0,12899.0,12712.857,154703.0,107.0,4959445.0
IND,Asia,India,2021-02-05,10802591.0,12408.0,11791.857,154823.0,120.0,5416849.0
IND,Asia,India,2021-02-06,10814304.0,11713.0,11596.143,154918.0,95.0,5775322.0
IND,Asia,India,2021-02-07,10826363.0,12059.0,11454.286,154996.0,78.0,5812362.0
IND,Asia,India,2021-02-08,10838194.0,11831.0,11512.0,155080.0,84.0,6259008.0
IND,Asia,India,2021-02-09,10847304.0,9110.0,11579.857,155158.0,78.0,6611561.0
IND,Asia,India,2021-02-10,10858371.0,11067.0,11583.857,155252.0,94.0,7017114.0
IND,Asia,India,2021-02-11,10871294.0,12923.0,11587.286,155360.0,108.0,7505010.0
IND,Asia,India,2021-02-12,10880603.0,9309.0,11144.571,155447.0,87.0,7967647.0
IND,Asia,India,2021-02-13,10892746.0,12143.0,11206.0,155550.0,103.0,8052454.0
IND,Asia,India,2021-02-15,10916589.0,11649.0,11199.286,155732.0,90.0,8516771.0
IND,Asia,India,2021-02-16,10925710.0,9121.0,11200.857,155813.0,81.0,8857341.0
IND,Asia,India,2021-02-17,10937320.0,11610.0,11278.429,155913.0,100.0,9186757.0
IND,Asia,India,2021-02-18,10950201.0,12881.0,11272.429,156014.0,101.0,9846523.0
IND,Asia,India,2021-02-19,10963394.0,13193.0,11827.286,156111.0,97.0,10449942.0
IND,Asia,India,2021-02-20,10977387.0,13993.0,12091.571,156212.0,101.0,10838323.0
IND,Asia,India,2021-02-21,10991651.0,14264.0,12387.286,156302.0,90.0,11085173.0
IND,Asia,India,2021-02-22,11005850.0,14199.0,12751.571,156385.0,83.0,11424094.0
IND,Asia,India,2021-02-23,11016434.0,10584.0,12960.571,156463.0,78.0,11907392.0
IND,Asia,India,2021-02-24,11030176.0,13742.0,13265.143,156567.0,104.0,12366633.0
IND,Asia,India,2021-02-25,11046914.0,16738.0,13816.143,156705.0,138.0,13067047.0
IND,Asia,India,2021-02-26,11063491.0,16577.0,14299.571,156825.0,120.0,13756940.0
IND,Asia,India,2021-02-27,11079979.0,16488.0,14656.0,156938.0,113.0,14242547.0
IND,Asia,India,2021-02-28,11096731.0,16752.0,15011.429,157051.0,113.0,14301266.0
IND,Asia,India,2021-03-01,11112241.0,15510.0,15198.714,157157.0,106.0,14854136.0
IND,Asia,India,2021-03-02,11124527.0,12286.0,15441.857,157248.0,91.0,15620749.0
IND,Asia,India,2021-03-03,11139516.0,14989.0,15620.0,157346.0,98.0,16616048.0
IND,Asia,India,2021-03-04,11156923.0,17407.0,15715.571,157435.0,89.0,18005503.0
